N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"79,900",900,-1.11%,100,"4,769,856","5,969,783",53.59,"16,361,297",19.18,9.99,
2,SK하이닉스,"121,500","2,000",-1.62%,"5,000","884,523","728,002",49.32,"3,021,856",17.35,9.53,
3,카카오,"163,000","2,000",+1.24%,100,"723,605","443,930",32.19,"4,090,290",237.26,2.70,
4,NAVER,"422,000","4,500",+1.08%,100,"693,192","164,263",57.07,"1,132,420",4.30,15.22,
5,LG화학,"859,000","13,000",-1.49%,"5,000","606,388","70,592",47.07,"180,936",37.39,2.93,
6,삼성전자우,"72,700",900,-1.22%,100,"598,239","822,887",75.98,"2,825,750",17.45,N/A,
7,삼성바이오로직스,"863,000","18,000",+2.13%,"2,500","571,004","66,165",10.09,"148,577",215.21,N/A,
8,삼성SDI,"732,000","17,000",-2.27%,"5,000","503,356","68,765",43.50,"339,991",71.70,4.54,
9,현대차,"229,500","2,500",-1.08%,"5,000","490,368","213,668",29.65,"1,215,974",27.77,2.04,
10,셀트리온,"266,000",500,-0.19%,"1,000","366,858","137,917",20.54,"435,397",61.02,16.68,
11,기아,"86,900",900,-1.03%,"5,000","352,261","405,363",33.59,"1,883,132",15.61,5.05,
12,POSCO,"339,500",0,0.00%,"5,000","295,999","87,187",53.74,"530,692",13.26,3.61,
13,LG생활건강,"1,763,000","20,000",+1.15%,"5,000","275,349","15,618",46.56,"28,413",38.00,17.92,
14,현대모비스,"281,500","1,000",-0.35%,"5,000","266,843","94,793",36.45,"275,245",15.02,4.66,
15,LG전자,"160,000","5,000",-3.03%,"5,000","261,836","163,648",31.30,"1,819,453",14.90,13.23,
16,SK이노베이션,"269,000","3,500",-1.28%,"5,000","248,732","92,466",22.85,"673,248",-25.44,-13.58,
17,삼성물산,"130,500","3,000",-2.25%,100,"243,888","186,887",14.88,"593,189",15.54,3.81,
18,SK텔레콤,"317,000","2,500",+0.79%,500,"228,431","72,060",45.82,"195,578",14.60,6.44,
19,KB금융,"52,300",500,-0.95%,"5,000","217,468","415,808",68.28,"1,834,124",5.44,8.53,
20,신한지주,"38,950",250,-0.64%,"5,000","201,216","516,600",60.58,"1,404,184",5.47,8.20,
21,SK,"272,500","2,500",-0.91%,200,"191,732","70,360",20.26,"175,867",31.73,1.11,
22,엔씨소프트,"834,000",0,0.00%,500,"183,097","21,954",52.04,"72,526",38.72,20.83,
23,HMM,"45,650","1,550",-3.28%,"5,000","157,672","345,392",13.16,"4,667,266",43.27,8.93,
24,한국전력,"24,500",350,-1.41%,"5,000","157,281","641,964",15.41,"2,719,214",7.66,2.91,
25,LG,"98,400","1,600",-1.60%,"5,000","154,784","157,301",33.44,"472,845",9.03,7.50,
26,삼성생명,"77,100",900,-1.15%,500,"154,200","200,000",13.35,"399,246",7.26,3.53,
27,SK아이이테크놀로지,"205,000","6,000",+3.02%,"1,000","146,160","71,298",6.36,"1,513,929",N/A,11.00,
28,아모레퍼시픽,"247,500","3,500",+1.43%,500,"144,685","58,458",33.81,"322,392",173.20,0.78,
29,삼성에스디에스,"184,000","3,500",-1.87%,500,"142,375","77,378",11.94,"138,703",22.62,6.71,
30,삼성전기,"182,000","6,500",-3.45%,"5,000","135,943","74,694",31.77,"747,566",20.03,10.92,
31,하나금융지주,"43,650",350,-0.80%,"5,000","131,056","300,242",68.28,"1,116,270",4.65,8.96,
32,포스코케미칼,"159,000","10,000",+6.71%,500,"123,167","77,463",7.98,"1,675,219",191.11,2.96,
33,SK바이오사이언스,"157,500","7,500",-4.55%,500,"120,488","76,500",3.93,"935,518",122.38,13.25,
34,넷마블,"135,000","1,000",-0.74%,100,"116,037","85,954",23.00,"332,201",36.72,6.35,
35,하이브,"294,000","3,500",-1.18%,500,"114,668","39,003",14.52,"367,221",104.59,12.52,
36,KT&G,"83,000",600,-0.72%,"5,000","113,953","137,292",37.88,"567,776",9.89,13.22,
37,S-Oil,"101,000","4,500",-4.27%,"2,500","113,709","112,583",77.58,"769,502",27.44,-13.07,
38,두산중공업,"25,250",100,-0.39%,"5,000","107,988","427,676",7.62,"6,709,096",-14.19,-37.20,
39,대한항공,"31,000",500,-1.59%,"5,000","107,824","347,821",10.82,"2,490,782",13.25,-7.22,
40,SK바이오팜,"130,000",500,+0.39%,500,"101,807","78,313",7.06,"560,362",-188.68,-135.18,
41,삼성화재,"213,000","2,000",-0.93%,500,"100,908","47,375",48.28,"102,267",10.61,4.96,
42,한국조선해양,"126,000","3,000",-2.33%,"5,000","89,174","70,773",17.66,"569,459",-9.64,-7.42,
43,롯데케미칼,"259,000","2,000",-0.77%,"5,000","88,773","34,275",26.49,"247,273",11.96,1.22,
44,한온시스템,"16,350",450,-2.68%,100,"87,276","533,800",18.79,"1,311,125",64.62,5.09,
45,KT,"32,500",0,0.00%,"5,000","84,861","261,112",44.18,"1,714,856",11.28,4.76,
46,LG디스플레이,"23,500",300,-1.26%,"5,000","84,087","357,816",19.59,"4,491,418",24.89,-0.79,
47,한화솔루션,"43,900",600,-1.35%,"5,000","83,971","191,278",17.19,"1,095,282",11.77,5.30,
48,우리금융지주,"11,450",0,0.00%,"5,000","82,700","722,268",25.90,"1,782,862",5.68,5.87,
49,고려아연,"434,000","2,000",-0.46%,"5,000","81,896","18,870",21.21,"50,356",12.70,8.37,
50,기업은행,"10,300",100,-0.96%,"5,000","76,663","744,301",12.80,"1,647,976",5.04,6.44,
51,현대글로비스,"200,500","6,500",-3.14%,500,"75,188","37,500",34.93,"217,975",13.07,12.45,
52,현대제철,"52,600",0,0.00%,"5,000","70,192","133,446",19.87,"1,102,719",-67.01,-2.59,
53,CJ제일제당,"446,000","6,500",-1.44%,"5,000","67,142","15,054",25.17,"41,022",17.94,13.50,
54,금호석유,"216,000","2,000",-0.92%,"5,000","65,810","30,468",23.10,"270,325",7.77,20.18,
55,현대건설,"57,700","1,500",-2.53%,"5,000","64,252","111,356",21.60,"1,210,633",52.17,1.84,
